題目,選項1.,選項2.,選項3.,選項4.,標準答案
信封,interested,doctor,confident,envelop,4
謙虛的,humble,package,pin,sure,1
直到,dizzy,weak,still,till,4
強調,aloud,goal,emphasize,closet,3
小貓,kitten,living room,Sunday,upon,1
作弊,grape,cheat,aunt,don't,2
給,pair,for,form,beat,2
百,mango,jeans,hundred,taxi,3
火腿,sky,car,ham,revise,3
如何,ahead,like,how,holiday,3
可以,Wednesday,everyone,argue,may,4
安逸,raise,watermelon,bee,ease,4
進步,egg,robot,progress,act,3
害怕,tub,sharp,pleasure,frighten,4
教練,coach,temple,formal,should,1
三月,March,rubber,dangerous,talkative,1
雨衣,rob,raincoat,freezing,shake,2
訂購,cup,skinny,pond,order,4
小羊,afternoon,bed,lamb,amount,3
鉛筆,tell,pencil,fun,friendship,2
化學,chemistry,closet,careless,lettuce,1
毀,barber,joy,ruin,fourteen,3
苗條的,local,already,slim,fool,3
傳統的,reject,playground,traditional,engineer,3
老鷹,terrible,skill,seldom,eagle,4
抬起,lift,goal,table tennis,touch,1
九十,introduce,ninety,study,typhoon,2
摩托車,long,only,motorcycle,boss,3
疼痛的,look,painful,diplomat,seven,2
九,post office,nine,ahead,grandfather,2
行星,sneaky,planet,textbook,debate,2
陽光的,sorry,treasure,sunny,cartoon,3
聾啞的,gas,dumb,stormy,walk,2
空白的,mile,blank,emotion,papaya,2
水龍頭,March,faucet,reason,along,2
他自己,himself,priest,money,hello,1
數學,bug,swing,hug,math,4
緊張的,nervous,people,Sunday,cure,1
他的,hug,wake,at,his,4
女服務生,hamburger,tell,flower,waitress,4
頻道,useful,channel,girl,regular,2
英雄,prince,Monday,hero,envy,3
廣告,gentleman,advertisement,swallow,train,2
十七,snowy,seventeen,hip,snail,2
日記,mud,partner,skirt,diary,4
假定,catch,only,all,assume,4
手機,gas,cellphone,ice cream,surprised,2
女兒,box,next,daughter,funny,3
提供,double,serve,exam,rainy,2
公尺,easy,maximum,greet,meter,4
畫底線,underline,care,yourselves,against,1
血,medium,apologize,amount,blood,4
排球,space,banana,cent,volleyball,4
滑雪,boat,he,ski,dumpling,3
溜冰,skate,stomach,ugly,pet,1
推銷員,salesman,brush,amount,basic,1
碟子,grandmother,sun,cheat,saucer,4
理髮師,gas,barber,cancel,shy,2
媽媽,steak,ease,mom,energy,3
突然的,sudden,low,jazz,vocabulary,1
斑馬,uncle,soup,former,zebra,4
後悔,postcard,regret,cream,apartment,2
小學,nobody,finish,elementary school,energy,3
困難的,valuable,guess,hard,dear,3
小孩,broadcast,put,what,child,4
手機,over,cell phone,shoe,enjoy,2
自己,independent,wood,myself,other,3
芒果,plant,over,mango,measure,3
十六,interview,sixteen,neither,marker,2
蔬菜,brave,their,vegetable,beyond,3
舒服的,comfortable,walk,topic,primary,1
貨車,jog,Saturday,truck,cute,3
出生的,trade,scared,shelf,born,4
甜甜圈,interview,friendly,pound,doughnut,4
辯論,childhood,promise,color,debate,4
胡蘿蔔,library,world,tube,carrot,4
坦誠的,ordinary,interest,player,frank,4
成績,grade,sweet,furniture,toward,1
天賦,travel,talent,host,friendly,2
故事,will,time,speak,story,4
甜點,gun,rob,dessert,daily,3
夏天,mosquito,steak,summer,nephew,3
禮物,never,then,gift,emotion,3
梨子,milk,pear,skate,brave,2
當地的,beat,near,topic,local,4
感到尷尬,finish,embarrass,print,paint,2
星期天,another,steam,Sunday,center,3
樓梯,reach,four,stairs,accept,3
老鼠,rat,kilogram,neither,group,1
小心的,careful,little,private,insist,1
非常地,super,lend,lick,bill,1
球棒,bat,funny,accept,distant,1
女士,Halloween,Ms.,sing,poor,2
假期,vacation,cotton,loser,home,1
控制/管制,control,disappear,deer,rope,1
郵局,crazy,wise,direction,post office,4
生物學,Thursday,along,biology,tip,3
甜的,upstairs,show,famous,sweet,4
私人的,thumb,my,private,walk,3
現代的,gold,college,modern,tooth,3
極好的,case,surf,map,fantastic,4
文化,cancel,culture,control,vacation,2
他們的,their,question,except,dress,1
抓,frighten,gift,side,hold,4
購物中心,scared,shark,mall,blouse,3
熟練的,cent,skillful,perhaps,section,2
身體,body,trace,inch,carry,1
美好的,clerk,wonderful,sheet,draw,2
撕破,value,bowling,subway,tear,4
手電筒,head,flashlight,sure,windy,2
領袖,each,depend,notice,leader,4
付款,kitchen,cover,pay,value,3
番茄醬,ketchup,clock,dirty,cheat,1
T恤,afraid,too,frog,T-shirt,4
口渴的,limit,spider,thirsty,century,3
天使,angel,eight,limit,thunder,1
更多的,soda,print,more,trade,3
創造,create,playground,egg,likely,1
電話,phone,ancient,how,autumn,1
青少年,north,dinosaur,start,teenager,4
相簿,channel,album,these,camera,2
郵票,stamp,our,leaf,time,1
藝術家,express,miss,artist,eat,3
全部的,course,back,all,sink,3
原諒,favorite,pull,success,excuse,4
蝴蝶,channel,between,traditional,butterful,4
餃子,dumpling,oil,frank,food,1
鐵路,shut,hard-working,medium,railway,4
我們自己,Easter,hunger,soup,ourselves,4
安靜的,quiet,swing,rude,main,1
一捆,recover,bundle,bed,father,2
物理學,hunger,physics,cheap,wake,2
人們,people,butterfly,comic,shake,1
飛機,below,eight,plane,snowy,3
沙灘,beach,princess,these,soy sauce,1
公里,stairs,argue,seventeen,kilometer,4
情緒,honesty,often,nurse,emotion,4
漂亮的,depend,cereal,pretty,marvelous,3
激勵,inspire,revise,stationery,neck,1
四十,forty,happen,Christmas,earth,1
正向的,fox,clean,sidewalk,positive,4
多,lot,slice,kingdom,bucket,1
山谷,factory,excited,row,valley,4
狼,bundle,happy,report,wolf,4
你們自己,social,hamburger,yourselves,ink,3
現在的,completion,share,quiz,present,4
禮物,honesty,present,favorite,railway,2
貪心的,greedy,change,before,again,1
數量/總量,cereal,amount,tidy,space,2
美國,bathroom,America,newspaper,refrigerator,2
車子,couch,write,car,meat,3
活動,activity,speech,number,active,1
爵士樂,dark,jazz,fantastic,naughty,2
撥打,contract,donkey,dial,dozen,3
橘子,mechanic,tangerine,exercise,influence,2
嗜好,along,hobby,duck,hot,2
足球,pig,bowling,large,football,4
瘋狂的,crazy,heavy,vote,comb,1
蟲,fill,worm,fact,absent,2
天才,genius,sports,platform,relative,1
沖刷,set,wash,net,married,2
計畫,comfortable,diplomat,until,project,4
小說,horse,mud,novel,purse,3
蜘蛛,yard,middle,spider,silver,3
負責的,popcorn,responsible,traffic,hero,2
滿的,rain,full,roll,shopkeeper,2
炸彈,accept,wide,bomb,they,3
無禮的,strike,come,rude,medicine,3
茶壺,fix,enjoy,allow,teapot,4
話題,deep,smoke,topic,grass,3
獅子,until,may,lion,artist,3
吐司,toothbrush,artist,tool,toast,4
危險的,thin,dangerous,stop,impossible,2
架,blue,comb,bomb,shelf,4
嘿,hey,careless,together,die,1
優勝者,gentle,winner,twice,use,2
害羞的,monkey,screen,great,shy,4
螃蟹,actor,first,east,crab,4
沒有,lantern,railway,not,knock,3
花費/代價,cost,package,exist,hold,1
披薩,paint,math,pizza,mind,3
店主,south,group,parrot,shopkeeper,4
星期六,tie,notice,Saturday,channel,3
眼鏡,glasses,season,surprise,engineer,1
成功的,mechanic,history,seldom,successful,4
耳環,crayon,earrings,praise,dinosaur,2
道別,restroom,good-bye,singer,style,2
雨傘,umbrella,shape,poem,add,1
關係,link,yesterday,brush,greet,1
冷凍櫃,skinny,freezer,cook,cold,2
日曆,last,point,lovely,calendar,4
想要/絢麗的,count,list,row,fancy,4
傳達,motorcycle,reach,tail,emotion,2
類型,wise,wallet,paper,type,4
吞,loud,everywhere,swallow,teapot,3
去,go,sing,very,work,1
聰明的,wallet,intelligent,kilometer,lesson,2
鳳梨,pineapple,kingdom,sleepy,adult,1
出租,rent,empty,note,tonight,1
有幫助的,helpful,volleyball,rise,pocket,1
視力,spirit,blackboard,present,sight,4
隨身聽,jeans,depend,Walkman,heat,3
神職人員,difficult,bear,priest,broadcast,3
初學者,beginner,argue,double,hill,1
我,toy,I,shark,branch,2
精力充沛,energetic,pleased,pineapple,frank,1
標示,indicate,pollute,court,traiangle,1
符號,collect,anything,symbol,cheap,3
打擊,high,flu,frank,fight,4
汙染,pollute,smoke,information,allow,1
小蟲子,art,bug,great,bill,2
傻的,save,jacket,gesture,silly,4
八,eight,modern,back,seventy,1
獵人,twenty,hunter,shop,volleyball,2
下巴,chin,lamp,increase,musician,1
一套,set,math,delicious,loud,1
公牛,host,revise,pretty,ox,4
與,with,bus,cheer,koala,1
士兵,bear,dinosaur,mad,soldier,4
海岸,fish,coast,festival,playground,2
好笑的,pool,bottom,skate,funny,4
小提琴,write,wallet,violin,hospital,3
農夫,handsome,farmer,beer,fence,2
點心,climb,allow,snack,dog,3
珍貴的,precious,hotel,fork,manager,1
個人的,personal,railroad,glad,softball,1
迎接,burn,yourselves,half,greet,4
籃球,nurse,basketball,lady,write,2
工作,base,real,none,job,4
面試,fifteen,stomachache,textbook,interview,4
星期四,foreign,desk,hide,Thursday,4
體育課,appear,PE,sour,guide,2
期限,term,outside,suggest,sincere,1
擁有者,skate,owner,piano,cookie,2
關上,cable,seafood,shut,enviroment,3
對著/朝向,know,yeah,toward,seven,3
蟑螂,need,handkerchief,cockroach,reject,3
吠叫,grandma,pillow,pause,bark,4
欣賞/感激,red,minor,appreciate,once,3
螞蟻,skate,distance,vegetable,ant,4
翻倒/小費,tip,principle,morning,purse,1
評論,humorous,comment,enjoy,hanger,2
纖細的,slender,napkin,nation,salt,1
手帕,victory,act,sixteen,handkerchief,4
麵,noon,cafeteria,ice,noodle,4
遇見,plant,lion,foot,meet,4
飯廳,dining room,pick,something,hate,1
情人,valentine,lion,lemon,do,1
風大的,windy,hat,impossible,tomato,1
五顏六色的,since,aunt,mosquito,colorful,4
統治者/尺,warm,say,ruler,them,3
姪女,sale,niece,stomachache,sound,2
錯誤,error,cereal,experience,week,1
王子,title,prince,arrange,basement,2
流行音樂,last,pop music,flashlight,trust,2
健行,drawer,hike,ox,silver,2
腳踝,stone,although,ankle,singer,3
克,railway,crowded,yourself,gram,4
太太,Mrs.,empty,everybody,knee,1
星期一,house,thousand,wild,Monday,4
教授,greet,professor,tank,leave,2
直接的,onion,direct,cartoon,ruler,2
燈籠,straight,fancy,lantern,donkey,3
覆蓋,cover,know,Wednesday,bake,1
公升,dance,cassette,sick,liter,4
模式,pattern,cover,area,skill,1
抽屜,realize,sun,drawer,meat,3
救護車,ambulance,print,artist,once,1
筆記本,notebook,comb,panda,neighbor,1
存活,basement,measure,biology,survive,4
陣雨,shower,appear,fish,book,1
城堡,succeed,castle,charge,ruin,2
牙刷,gain,office,cousin,toothbrush,4
一個,giant,corner,pronounce,a,4
健康的,party,excuse,healthy,eagle,3
複習,review,instrument,bed,form,1
七,cool,seven,tidy,rush,2
工作努力的,generous,hard-working,childlike,hold,2
吉他,cafeteria,guitar,problem,inspire,2
啤酒,beer,toast,save,plane,1
雪人,snowman,lettuce,nice,service,1
公寓,tent,deep,apartment,movement,3
國中,treat,junior high school,senior high school,elementary school,2
食物,stairs,can,pale,food,4
他,main,him,interrupt,excellent,2
圓的,become,anywhere,round,question,3
感興趣的,cream,balcony,interested,pan,3
借,lend,shelf,why,add,1
吵雜的,president,miss,noisy,family,3
最後的,turn,step,final,high,3
千,stop,oil,latter,thousand,4
殘忍的,find,cruel,board,several,2
一對/夫妻,tie,healthy,ceiling,couple,4
歡呼,fourteen,cheer,swan,pleased,2
三十,thirty,refrigerator,knife,lick,1
書店,sample,bookstore,there,super,2
棒球,lemon,baseball,pants,activity,2
錢包,sail,purse,amount,red,2
省略,bundle,baseball,omit,loud,3
沙發,before,sofa,offer,trouble,2
十月,crowded,maybe,October,soap,3
最大的,skirt,maximum,hen,treasure,2
座位,rabbit,though,seat,cotton,3
膠帶,boat,belt,century,tape,4
我,window,honest,me,brick,3
雜誌,finger,magazine,market,flat tire,2
老師,pool,around,sense,teacher,4
高興的/滿意的,village,desert,blanket,pleased,4
輸家,except,start,physics,loser,4
桶子,scared,wolf,bucket,tonight,3
煎,fry,in,exciting,drop,1
欽佩,aim,admire,nurse,arm,2
稱讚,flower,praise,fall,gift,2
字母,foolish,ham,alphabet,throw,3
僕人,servant,important,mud,crime,1
香蕉,absent,banana,chopsticks,waiter,2
地鐵,yellow,foreign,subway,water,3
短褲,shorts,nothing,movement,before,1
十一月,November,generous,jazz,thing,1
褲子,ever,level,sudden,pants,4
便利商店,holiday,convenience store,soup,after,2
圍繞,amount,around,ham,from,2
康復,reach,quiz,paint,recover,4
大聲地,sister,hate,already,aloud,4
取消,check,stingy,cancel,not,3
扶手椅,armchair,sign,remember,advertisement,1
鬼鬼祟祟的,desert,corner,sometimes,sneaky,4
環境,enviroment,actress,across,foreigner,1
很棒的,terrific,soon,wok,exciting,1
事情,universe,few,coast,matter,4
博物館,eat,window,museum,save,3
鯊魚,shark,time,cell phone,light,1
恭喜,effort,congratulation,business,ketchup,2
努力,boil,count,effort,already,3
再見,mistake,advise,bye,Thursday,3
超市,supermarket,decrease,cockroach,dining room,1
十九,deliver,nineteen,newspaper,perhaps,2
喊叫,society,yell,master,lunch,2
重的,shrimp,treat,syeam,heavy,4
鬼/幽靈,assume,ordinary,sound,ghost,4
南方,them,naughty,south,toothbrush,3
措施/測量,mechanic,frog,dream,measure,4
時髦的,reporter,fashionable,farmer,war,2
電腦,flute,pie,thousand,computer,4
收入,income,insect,hey,manner,1
建議,advice,itself,dinosaur,shout,1
地下道,hamburger,excellent,softball,underpass,4
沒有,abroad,without,sometimes,dirty,2
政府,government,ruin,mother,foreign,1
挑選/精選的,partner,corner,select,express,3
冰淇淋,king,ice cream,tea,finger,2
手套,single,April,glove,correct,3
烤肉,gate,army,barbecue,safe,3
浴缸,appear,clap,tub,diplomat,3
小氣的,truck,seventeen,noon,stingy,4
美髮師,angel,waitress,pumpkin,hairdresser,4
區域,swimsuit,carry,area,trousers,3
寄物櫃,locker,accident,advice,important,1
猴子,bat,monkey,wake,neither,2
頭痛,point,hurt,turn,headache,4
臺灣,Taiwan,frank,imagine,whose,1
壘球,secret,country,nose,softball,4
家庭主婦,arrive,housewife,jealous,mall,2
爺爺,principal,grandfather,parent,spell,2
字彙,cat,vocabulary,inspire,curve,2
六月,foolish,will,talkative,June,4
義大利麵,accident,spaghetti,panda,smoke,2
追捕/抓,omit,courage,catch,pie,3
低下/鞠躬,recycle,honesty,bow,inspire,3
隧道,tunnel,sugar,excuse,by,1
鹿,deer,busy,review,correct,1
板,board,police,guitar,much,1
芭樂,left,seven,guava,with,3
糖果,exercise,candy,need,indicate,2
樓下,feed,Internet,downstairs,housewife,3
牛肉,beef,mark,woman,cup,1
理由,reason,him,name,waist,1
擁擠的,always,crowded,should,exit,2
節慶,debate,wheel,festival,accident,3
懷疑,channel,slide,inch,doubt,4
馬桶,lonely,toilet,local,butterfly,2
資訊,channel,imformation,talkative,exercise,2
高麗菜,cabbage,number,forward,kick,1
親愛的,save,belt,honey,completion,3
十二,brother,twelve,sweet,start,2
胖的,planet,west,spread,chubby,4
稚嫩的,childish,once,bookcase,earth,1
麵包店,something,bakery,leg,golden,2
嗨,frisbee,hi,bird,out,2
牙痛,while,toothache,birthday,strike,2
高爾夫球,golf,T-shirt,sidewalk,memory,1
程度,degree,deliver,island,headache,1
十二月,volleyball,set,December,airlines,3
巨人,aim,stomach,teach,giant,4
人行道,medicine,sidewalk,toward,enviroment,2
有用的,five,each,still,useful,4
岸邊,stream,slender,wave,shore,4
考試,exam,bookstore,then,successful,1
橡皮擦,seafood,lightning,eraser,tongue,3
蝦子,run,watermelon,patient,shrimp,4
卡通,them,nice-looking,ever,cartoon,4
梳妝台,monster,dresser,actor,area,2
四,housewife,four,host,math,2
天花板,quite,born,provide,ceiling,4
罩衫/襯衫,blouse,qequal,partner,far,1
興奮,April,excited,rest,theirs,2
反倒是,restaurant,snowman,rather,lift,3
紫色的,purple,lay,side,yard,1
二,two,vote,koala,carpet,1
星期三,nervous,Wednesday,underwear,cheat,2
運動鞋,sudden,sailor,form,sneakers,4
袋鼠,instant,ball,swallow,kangaroo,4
靈魂,flower,wheel,soul,naughty,3
無聊的,postcard,knee,million,boring,4
經理,manager,likely,storm,strike,1
九月,face,September,soccer,Easter,2
擁抱,hug,kid,genius,castle,1
風箏,kite,furniture,doughnut,lady,1
少的,needle,south,less,knock,3
第三的,department,third,whether,trhroat,2
輪胎洩氣,flat tire,man,chopsticks,yummy,1
樂團,amusement park,restaurant,underwear,band,4
其次的,space,secondary,rabbit,against,2
暴風雨的,dead,stormy,childish,position,2
首要的/校長,boss,principal,semester,vegetable,2
加,plus,pear,heart,surprised,1
拍手,teacher,planet,swallow,clap,4
成年的,question,adult,fashionable,common,2
褲子,enough,trousers,perhaps,selfish,2
遵守,take,fail,slow,follow,4
腰,waist,revise,glove,ice cream,1
驚訝,joke,flat tire,surprise,pump,3
體育的,house,ant,stationary,sports,4
家具,goal,obey,piece,furniture,4
美味的,delicious,softball,punish,bucket,1
起水,monster,smoke,soft drink,lettuce,3
減,minus,free,a few,general,1
颱風,eat,mine,bill,typhoon,4
外國人,waist,mine,teacher,foreigner,4
泳衣,pear,swimsuit,upper,wear,2
萬聖節,Halloween,owner,flute,ours,1
拖把,little,raincoat,towel,mop,4
晚餐,bike,supper,touch,poor,2
十八,eighteen,orange,chicken,nervous,1
現場,mommy,scene,oil,temple,2
想睡的,locker,smoke,spoon,sleepy,4
慢的,slow,shore,grandson,bore,1
教室,crowd,jog,classroom,underline,3
航空公司,airlines,what,December,well,1
多話的,talkative,lightning,raincoat,spider,1
傳統,tradition,doughnut,action,stone,1
獲得,wait,beautiful,ancient,gain,4
漢堡,burger,energy,tub,fault,1
真誠的,sincere,nervous,supper,mine,1
疊/堆疊,shy,only,pile,tip,3
蒐集,thank,build,gather,slow,3
鋼琴,bear,piano,Taiwan,sentence,2
原諒,look,pardon,real,wake,2
三,hurry,workbook,arrive,three,4
動作,knock,movement,mommy,prize,2
先前的,yard,former,motorcycle,return,2
美式足球,soccer,guitar,repair,news,1
疲倦的,apologize,record,foot,tired,4
毛巾,green,influence,six,towel,4
二十,twenty,husband,airport,visitor,1
電視,raise,television,distant,receive,2
司機,turkey,driver,instrument,waist,2
龍,explain,increase,fee,dragon,4
主要的,major,three,silly,work,1
背包,backpack,greedy,parrot,boy,1
公分,recycle,centimeter,guava,lack,2
銀行,principle,bath,bank,member,3
午夜,likely,tennis,trace,midnight,4
蘇打,notebook,soda,cage,volleyball,2
自己,game,oneself,page,paint,2
檸檬,foolish,lemon,gas,wish,2
似乎,fisherman,seem,bathroom,department,2
植物,clap,video,plant,course,3
收費/充電,want,charge,shop,breakfast,2
天亮,dawn,select,gentleman,homesick,1
閃電,lightning,homework,workbook,April,1
嫉妒的,fry,jealous,excite,quit,2
郵差,mailman,check,prince,thunder,1
頭暈的,day,hike,police,dizzy,4
釘子,honey,humid,during,nail,4
較小的,wind,though,minor,hotel,3
人,different,choice,common,guy,4
姪子,soccer,nephew,businessman,direct,2
交通,forget,ham,traffic,thunder,3
騎自行車,herself,fast,race,bike,4
水塘,pool,teach,common,lead,1
洗手間,attention,question,distancr,restroom,4
點頭,grade,nod,ticket,cute,2
尋找,Saturday,diplomat,forgive,seek,4
小販,fear,rainy,revise,vendor,4
負面的,height,forward,sudden,negative,4
優秀的,dumpling,empty,fine,independent,3
梳,pleasure,double,comb,available,3
微波爐,purpose,microwave,paint,besides,2
犯罪,want,cell phone,crime,model,3
鳥籠,accident,mask,cage,shut,3
牛仔褲,find,call,jeans,like,3
跳/單腳跳,hop,check,guy,aunt,1
舔,refuse,golf,lick,underpass,3
感恩節,divide,grade,foggy,Thanksgiving,4
外套,banana,themselves,enough,jacket,4
體貼的,doughnut,considerate,section,cabbage,2
餅乾,cookies,stomachache,speaker,dawn,1
百貨公司,chin,top,department store,Thanksgiving,3
勝利,victory,touch,instrument,trace,1
慶祝,celebrate,Chinese,big,pollution,1
捷運,run,snowy,oil,MRT,4
幽默的,humorous,mind,anybody,read,1
經典的/古典的,size,classical,sister,express,2
一條,arm,air,blood,loaf,4
十四,wear,fourteen,pot,mind,2
模特兒,rather,bore,model,shut,3
精神,sports,name,still,spirit,4
投遞,glad,gain,store,deliver,4
下雨的,bowling,shirt,rainy,five,3
勤勞的,diligent,foreign,china,hour,1
責備,trip,living room,blame,finish,3
應該,classical,should,clever,flour,2
部分,careless,section,however,progress,2
游泳,visit,swim,skill,traffic,2
洗澡,bathe,sports,loaf,blame,1
性格,order,character,tape,soul,2
主要的,barbecue,primary,king,area,2
很多,since,or,assistance,a lot,4
獨立的,skate,fire,strong,independent,4
自私的,soldier,blue,selfish,couple,3
十三,today,abroad,thirteen,become,3
爺爺,everybody,last,grandpa,speaker,3
你的,receive,yours,habit,ancient,2
裝飾,decorate,helpful,narrow,jazz,1
中心的,sudden,day,central,produce,3
選出,friend,hop,elect,boy,3
稻草/吸管,modern,straw,microwave,ruler,2
我們的,forest,forty,rise,ours,4
回收,dozen,busy,recycle,tomorrow,3
蘋果,giant,apple,cage,orange,2
保齡球,mass,bowling,search,noodle,2
出口,exit,national,however,vegetable,1
墨水,ink,island,run,ahead,1
大吼,touch,shout,lose,gym,2
墊/地毯,mat,album,centimeter,empty,1
黑板,tooth,kick,blackboard,station,3
戒除,woman,complain,extra,quit,4
目標,yourself,honest,goal,engine,3
練習本,basketball,naughty,quiz,workbook,4
熊貓,panda,America,grandfather,physics,1
綠的,meal,green,dresser,lettuce,2
炸薯條,French fries,turtle,interview,diet,1
洞,block,rude,door,hole,4
我們,us,message,single,story,1
厭煩,secretary,childish,bore,name,3
奶奶,meter,different,grandma,century,3
公斤,kilogram,man,pale,conversation,1
校園,campus,pay,polite,lettuce,1
卡帶,eighteen,production,cassette,sauser,3
記者,cotton,mean,boil,journalist,4
當...時候,tangerine,raise,while,bark,3
有趣的,thirsty,interesting,July,appear,2
筆,will,pen,blame,juice,2
爆炸/爆發,burst,record,think,middle,1
高中,university,elementary school,junior high school,senior high school,4
我們的,our,Monday,local,affect,1
十五,fifteen,cheer,home,unique,1
東,straight,alone,east,job,3
十一,hall,shout,support,eleven,4
懶惰的,enter,careful,compare,lazy,4
天真無邪的,childlike,artist,straw,run,1
分數,china,him,several,score,4
總共/完全,sir,altogether,tiny,distant,2
洗手間,cassette,dining room,restroom,tangerine,3
萵苣,traffic,trace,comment,lettuce,4
不能,into,central,cannot,happy,3
外交官,fear,diplomat,law,trouble,2
南瓜,doubt,hill,panda,pumpkin,4
浴室,shrimp,bathroom,start,carrot,2
星期二,Tuesday,complete,shake,plan,1
烤箱,fifteen,burst,method,oven,4
大師,mat,tooth,master,flute,3
