題目,選項1.,選項2.,選項3.,選項4.,標準答案
安排,instruct,stage,monotony,settle,4
鞭打,pitch,whip,judge,assist,2
議會,council,octopus,prick,fishery,1
拔河比賽,protection,tug-of-war,warehouse,grapefruit,2
驚豔,cub,amaze,steady,alliance,2
區,inevitable,negotiate,district,minimal,3
榮譽的,director,pace,publication,honorary,4
惹火/使生氣,flush,barbershop,displease,individual,3
硫,superficial,specialize,sulfur,electronic,3
處理,lifeboat,disposal,anxiety,lemon,2
先進的,advanced,blink,anywhere,approximate,1
抵制,are,boycott,economics,soar,2
脆弱的,compatible,electronic,fragile,pad,3
學說,chief,dove,doctrine,antibody,3
贊助人,patron,trout,delight,object,1
故障,mumble,breakdown,dairy,reflective,2
垃圾,whereabouts,arithmetic,twinkle,rubbish,4
腳跟,digital,morality,sprinkle,heel,4
樂觀,republican,directory,brook,optimism,4
燉,compute,whom,permit,stew,4
縮寫,sensitive,riddle,optimism,abbreviate,4
預期的,stationary,fuse,fairy,prospective,4
邊緣,corporate,brink,twice,fairy,2
航行,navigate,heritage,disciplinary,fresh,1
培養,bulky,windshield,pollutant,foster,4
莊園,estate,honeymoon,majority,guard,1
香檳,combine,dictator,champagne,pollutant,3
棲息,algebra,instrutor,perch,ballot,3
裁判,extract,collapse,brief,umpire,4
債,wrinkle,inventor,debt,experiment,3
音節,county,headphone,differ,syllable,4
嘲弄,brow,mud,versatile,jeer,4
聳肩,reverse,shrug,proportion,faith,2
破壞,cripple,lighten,sneak,foresee,1
存放,way,deposit,favorable,counterpart,2
諮詢,consultation,reside,recur,hesitation,1
愧疚,guilt,truthful,compile,performance,1
快報/公告,clover,souvenir,bulletin,joyful,3
無視,disregard,wheelchair,tourist,rack,1
瓜,melon,grind,generosity,lawn,1
出院,discharge,memorable,highlight,alert,1
道德,encounter,exchange,legend,morality,4
煤礦,fare,veterinarian,coal,cherish,3
瑕疵,headline,flaw,confrontation,profound,2
處理,mansion,tackle,smog,town,2
聖地,brotherhood,shrine,ambiguous,venture,2
勸戒,slight,crack,dissuade,agency,3
大約的,audio,magnetic,approximate,association,3
止渴/熄滅,honorable,eliminate,craft,quench,4
懷疑,crisis,distrust,circuit,carefree,2
刮鬍刀,resort,scout,rotate,razor,4
負擔,majesty,plea,organic,burden,4
女空服員,consumer,distinctive,stewardess,blizzard,3
刺激,crook,stimulus,sneer,ultimate,2
(動物的)角/號角,slang,horn,rely,aptitude,2
性格,likelihood,cultural,found,temperament,4
預料,foresee,stimulus,mercy,lollipop,1
摩擦,inward,spade,royal,friction,4
與生俱來的,wealthy,inherent,creep,surplus,2
論語,analects,sell,choir,changeable,1
哼曲子,feather,hum,specialize,colloquial,2
保險絲,gradual,automatic,colonel,fuse,4
儘管,bout,regardless,tulip,invitation,2
苦境,plight,shell,incline,faint,1
少女,mobilize,maiden,incident,asylum,2
火山,server,volcano,effective,abortion,2
無庸置疑,symbol,ladybug,undoubtedly,originate,3
允許的,fake,stereotype,permissible,ambition,3
諮詢師/顧問,mobile,selective,counselor,contradiction,3
派遣,embassy,dispatch,upgrade,massive,2
證據,evidence,hen,blink,contest,1
強度,intensity,intervene,airmail,effective,1
有益健康的,bump,glimpse,wholesome,summarize,3
相當,swallow,correspond,wholesome,satisfactory,2
情誼,publication,exclude,companionship,contemplation,3
提高,flip,bond,enhance,suspension,3
解脫,zoom,odor,relief,simplify,3
大廳,pact,lobby,concerning,scent,2
週年紀念,anniversary,ranch,provoke,respond,1
交流,inland,venture,practical,interaction,4
課程,condense,solitary,nursery,curriculum,4
惡劣的,pinch,punctual,foul,transportation,3
雕像,refresh,stammer,odor,sculpture,4
奉獻,dedicate,agreeable,register,resemble,1
飼養,tempest,breed,abide,freight,2
愛國的,patriotic,violation,correspondent,backbone,1
想像,conceive,cork,foolish,surpass,1
更新,fortunate,update,offense,simplify,2
道歉,enviromental,apology,authorize,drizzle,2
罕見的,bizarre,spectator,attract,hint,1
海灣,flash,gulf,lieutenant,fiction,2
表示/代幣,settle,token,awe,valuable,2
部門,deprive,ministry,aside,skyscraper,2
小節/段落,costly,stanza,shady,ivy,2
原始的,residential,mob,primitive,bleak,3
管理員,diameter,caretaker,variation,disperse,2
悲觀的,eloquent,fierce,pessimistic,oversleep,3
英畝,coastline,original,acre,declare,3
服從,stream,surface,obedience,press,3
政治家,statesman,automobile,vivd,portable,1
到期/逝世,shade,expire,squat,fin,2
打呼,perevere,priceless,dash,snore,4
苔癬,mattress,vague,cleaner,moss,4
舒適的,constant,cozy,eloquent,fiber,2
慢性的,rusty,mattress,chronic,impose,3
微小的/容易解決的,pistol,revenue,terminate,trivial,4
佈局,competition,layout,regulate,superstitious,2
檢舉,woodpecker,pistol,denounce,manufacturer,3
難過,cocoon,dismay,rebel,stew,2
實況報導,squash,commentary,delightful,braid,2
金庫/寶庫/財政部,measurable,treasury,idiom,oral,2
荒涼的,bleak,wheat,disgust,acre,1
扒手,caretaker,pickpocket,professional,analyst,2
癩蝦蟆,attach,toad,suburban,cozy,2
消遣,courteous,clown,pastime,vow,3
咕噥,calcium,category,convention,mumble,4
有爭議的,controversial,reunion,driveway,exhibition,1
擅入侵入,chilly,pension,biscuit,trespass,4
罵/詛咒,innocent,curse,landmark,observer,2
投訴,sorroundings,complaint,contempt,dismay,2
同伴,dye,technology,ozone,comrade,4
五十,symphony,fifty,bulletin,radish,2
長途跋涉,stride,trek,variation,syrup,2
恢復,bleak,defeat,glitter,revive,4
主題,theme,woe,knowledgeable,entertain,1
實現,fulfull,chip,portrait,prayer,1
都會的/首都的,donation,punctual,metropolitan,swell,3
瘀青,contribute,bruise,fascinate,accommodation,2
密度,disturbance,density,transportation,prowl,2
沖泡,alongside,contribute,diversion,brew,4
家庭/一戶,simmer,pickle,tan,household,4
取代,flour,substitude,urban,ourskirts,2
參加,participate,truce,surface,conductor,1
更遠,farther,infection,recognize,nuclear,1
木偶,bulky,nickel,stammer,puppet,4
有表現力的,expressive,conquest,coherent,participate,1
養老金,pension,instant,pub,match,1
龐大的,exclude,bog,bulky,chuckle,3
車費,costume,stall,fare,auxiliary,3
結婚,prose,wed,punch,boredom,2
培根,poetic,jelly,balance,bacon,4
畢業,graduation,qualify,atuthorize,metaphor,1
嚴肅的,criticize,grim,sprinkle,persistent,2
動盪,refuge,turmoil,make-up,formulate,2
雞尾酒,boyhood,cocktail,crew,release,2
聰明的,intellectual,receive,holder,straightforward,1
惡名昭彰的,magical,rotation,veil,notorious,4
穿透/看穿,radical,expansion,penetrate,championship,3
出價,eclipse,foggy,bid,operate,3
敘事,chronic,journey,grape,narrative,4
研討會,isle,consideration,workshop,bamboo,3
元素/成分,object,trash,ingredient,postage,3
當代的,contemporary,wholesome,tenant,continental,1
一生,lung,lifetime,endanger,outlet,2
少年/小夥子,contestant,grandchild,lad,tennis,3
應試者,examinee,work,devote,steamer,1
皇帝,analyst,product,emperor,quest,3
冠軍,oppress,awaken,extraordinary,champion,4
促使,directory,minimize,discard,prompt,4
心靈的,accompany,toll,acquaint,spiritual,4
高爾夫球,cigar,golf,erase,release,2
走道,aisle,overhead,analytical,analogy,1
技術員,adopt,leopard,technician,operate,3
赤腳地,saving,barefoot,soak,burglar,2
搗成泥狀,instead,shun,equality,mash,4
承認,adolescence,acknowledge,positive,descendant,2
一開始/起初,standard,outset,official,counselor,1
嘲笑,mock,horror,maturity,celsius,1
保護區,sanctuary,wail,hay,roar,1
雕刻,recent,braid,carve,fatal,3
拍賣,dive,desperate,throne,auction,4
握緊,clench,disregard,massage,billion,1
不友善的,thread,hostile,intervention,acre,2
困難,thus,fuse,radiator,hardship,4
建築師,perch,villain,architect,cosmetics,3
紡織,circular,textile,collapse,overwork,2
累積,accumulate,practical,variety,manipulate,1
有資格,fierce,architecture,measurable,qualify,4
喘氣/倒抽氣,gasp,transistor,sprint,evidence,1
目錄,accuse,courageous,constructive,catalogue,4
獨創性,collar,continent,pinch,originality,4
志工,volunteer,county,falty,logo,1
全體演員,rice,crew,cast,urge,3
抹去,smother,erase,antibiotic,pollutant,2
榮譽,important,honor,fierce,stumble,2
散播/兜售,ending,summon,indulge,peddle,4
優雅,flunk,chairman,grace,variation,3
雜貨店,grocery,pistol,reign,persuade,1
裝置,bend,silicon,device,truce,3
曬黑,laser,tan,poacher,jealousy,2
鎳,stereotype,nickel,approval,soar,2
啜飲,substitude,slave,paragraph,sip,4
剩餘,bachelor,element,remainder,asset,3
救生員,variable,lifeguard,depict,better,2
獨家的,advocate,germ,exclusive,resident,3
壓扁,oriental,squash,reconcile,concerning,2
豪華的,prohibition,yarn,withstand,luxurious,4
推翻,knit,sophomore,overthrow,fall,3
歧視,documentary,bump,scarecrow,discriminate,4
即興的,annoyance,memorize,facility,spontaneous,4
暗示的,rival,implicit,outbreak,scandal,2
賽跑者,cube,hostility,runner,decline,3
拉,twinkle,haul,disperse,mainstream,2
縮小,legislative,deter,shrink,joyful,3
銅的,assert,theory,immediate,copper,4
緊貼,cling,chunk,slaughter,luggage,1
提供/分配,astronaut,prominent,dispense,vineyard,3
權力,authority,resignation,ounce,startle,1
板機/觸發,mute,attractive,trigger,dosage,3
工程學,committee,caffeine,palace,engineering,4
概念,concept,relief,tighten,enterprise,1
毀滅/喪生,theatrical,lure,perish,trader,3
引證/引用,priivilege,drawing,town,cite,4
露出/揭發,commentary,expose,freeway,vitamin,2
蹲,sock,crouch,stepmother,moss,2
爐子/廚具,wharf,utensil,assembly,cooker,4
壯麗的,majestic,gleam,acquire,declaration,1
肚臍,hush,wildlife,stab,navel,4
海的,marine,discomfort,fix,rebel,1
危機,owl,harass,eternity,crisis,4
別墅,destructive,model,chariot,villa,4
寧靜的/安謐,resolution,sodium,tranquil,survey,3
狼吞虎嚥,destined,heighten,chore,gobble,4
插圖,application,kitten,illustration,withstand,3
明智的,proceed,curriculum,sensible,hardware,3
排水/累壞/耗盡,abundant,drain,comprehensive,eternity,2
可有可無的,react,wagon,brow,dispensable,4
放大/誇大,foolish,organ,magnify,eligible,3
為了,feminine,sake,satisfactory,procedure,2
欽佩/羨慕,rocky,acquires,admiration,personality,3
音樂的,seagull,chain,gown,musical,4
泥濘的,astronomy,literary,muddy,sorry,3
演化,oppose,snatch,evolution,reinforce,3
完好無缺的,modify,intact,majority,flour,2
有聲望的,prestige,gut,playful,fifty,1
容易...的/有...傾向的,liar,dispatch,preference,prone,4
鎮定劑,tranquilizer,pledge,tribute,tray,1
擁有,distress,possession,vineyard,purify,2
同步的,tourism,simultaneous,notable,lizard,2
進化,assumption,economist,first,evolve,4
主要的/主導的,dominant,membership,retort,minimum,1
壓/迷戀,lieutenant,balance,intonation,crush,4
結果,zipper,outcome,vowel,mileaage,2
重要的/突出的,chaos,summit,prominent,inferior,3
果醬/堵塞,pharmacy,jam,cradle,sociology,2
開始,scissors,including,flip,initiate,4
悠閒,leisure,scientific,commerce,addiction,1
集會,determination,rally,crooked,rug,2
膠囊,tiresome,capsule,consideration,peasant,2
和藹的,gracious,grease,overturn,chirp,1
發出嘶嘶聲,offensive,hiss,founder,audio,2
優格,yogurt,insight,negotiation,mystery,1
引誘/魚餌,knuckle,conflict,lure,sneak,3
刺/戳/捅,bible,knight,ace,stab,4
主要的/上等的,boxing,prime,contempt,gnaw,2
酒館/客棧,tavern,people,disgrace,shout,1
跳動/顫動,formula,flutter,ponder,hateful,2
消費量,consumption,janitor,forsake,gallon,1
決定/堅決,determine,hippo,faint,ministry,1
致敬,preparation,tribute,opportunity,extreme,2
領域/控制區,jar,oral,sector,legislature,3
所以/因此,zone,communism,hence,store,3
勸說,entry,induce,prop,penny,2
病房/牢房,triple,razor,ward,refuge,3
青銅的,season,contribution,bronze,transmit,3
聯邦的,federal,adapt,span,detain,1
專心,owl,lemonade,symbolize,concentration,4
抗體,slang,audience,necklace,antibody,4
戰士,warrior,villa,surplus,temptation,1
鈍的/變鈍,blunt,technician,lean,counterpart,1
農業的,present,pill,expel,agricultural,4
礦工,advantage,encounter,minor,stitch,3
手術,expose,feed,surgery,yield,3
缺陷/障礙,handicap,disease,forward,clinic,1
恐慌,steady,panic,failure,high fidelity,2
星系,relay,context,galaxy,awful,3
壟斷,civic,hope,monopoly,layout,3
差別,hack,distinction,authorize,force,2
該死,communication,tame,damn,species,3
高興,soar,arrest,glee,summary,3
反義詞,scholar,breakup,preference,antonym,4
佐料,federal,dressing,fry,mischievous,2
叢林,loosen,minimize,vet,jungle,4
小丑,liver,ton,adulthood,clown,4
經濟的,hack,mirror,pinch,economic,4
黎明,outrageous,drizzle,budget,daybreak,4
平坦的,salty,flat,productive,fragrant,2
麵包皮,confrontation,victor,citizen,crust,4
妥協,compromise,fabulous,dedicate,suspicion,1
敢/膽敢,adjective,dare,criticize,educational,2
